情境,公設筆,類,歸戶,a分攤(㎡),處置
3.5m,628-12(1),PF,G003,144.61,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-12(2),RD,G003,22.19,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-12(3),RD,G003,33.2,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-13(1),PF,G003,72.52,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-13(2),RD,G003,31.48,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-14(1),PF,G003,52.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-15(1),PF,G015,203.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-16(1),PF,G003,558.43,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-16(2),RD,G003,24.57,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-17(1),PF,G003,583.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-2(1),RD,G028,52.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-24(1),PF,G025,621.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-25(1),PF,G031,207.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-26(1),PF,G024,12.32,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-5(1),PF,G012,191.95,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-5(2),RD,G012,69.05,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-53(3),PF,G025,300.44,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-53(4),RD,G025,229.34,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,628-6(1),PF,G013,36.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,713(1),PF,G016,29.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,715(1),PF,G003,114.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,717(1),PF,G003,246.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,718(1),PF,G016,842.55,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
3.5m,719(1),PF,G016,1200.0,轉 7-4（歸戶於 trunk C 無建地；F.4 調配）
