情境,歸戶鍵Gxxx,宗數,宗清單,ΣG_戶(㎡),含旗標宗數,梯次,對應v3級,阻卻,路徑標註,持分和檢核,參考估算,備註
0m,G001,3,628-34(3);628-34(1);628-34(2),1031.79,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G002,1,628-39(1),312.62,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G003,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G004,1,628-52(1),94.62,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,"增配≈19.45·差額≈1933805(參考,a′待v3)",
0m,G005,2,628-18(1);628-18(2),666.57,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G006,4,628-49(1);628-49(2);628-47(1);628-48(1),582.6,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G007,7,628-20(1);628-20(2);628-45(1);628-45(2);628-30(2);628-30(1);628-30(3),1943.66,3,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G008,1,628-4(1),914.62,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G009,7,628-1(1);628-1(2);628(5);628(1);628(2);628(3);628(4),3291.12,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G010,2,628-40(1);628-43(1),391.24,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G011,2,628-42(1);628-42(2),121.63,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G012,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G013,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G014,2,628-28(1);628-29(1),173.16,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G015,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G016,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G017,6,628-22(1);628-22(2);628-21(1);628-21(2);628-23(1);628-23(2),2491.68,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G018,1,628-51(1),193.73,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G019,1,628-37(1),269.09,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G020,1,628-50(1),194.51,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G021,2,628-35(2);628-35(1),924.18,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G022,2,628-7(1);628-7(2),744.81,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G023,1,628-41(1),225.55,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G024,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G025,2,628-53(1);628-53(2),2.42,2,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈304139(參考,a′待v3)",
0m,G026,3,628-32(2);628-32(1);628-32(3),1153.37,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G027,3,628-31(2);628-31(1);628-31(3),1048.51,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,
0m,G028,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G029,1,628-36(1),781.03,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G030,2,628-27(1);628-27(2),73.85,2,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,"增配≈40.22·差額≈3998851(參考,a′待v3)",
0m,G031,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,"補償本文≈0(參考,a′待v3)",
0m,G032,1,628-38(1),157.32,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,
0m,G033,1,628-46(1),98.69,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,"增配≈15.38·差額≈1529148(參考,a′待v3)",
