情境,暫編地號,街廓,面積,臨正街長,臨左側街長,臨右側街長,非路邊界長(屁股/分區/截角),內部切長,裁決
0m,R1-抵費地-1,R1,1170.25,35.31,0.0,0.0,35.31,66.51,臨路
0m,R1-抵費地-2,R1,5.33,0.0,29.63,0.0,0.32,29.64,臨路
0m,R2-抵費地-1,R2,1799.87,40.44,0.0,0.0,40.47,89.24,臨路
0m,R2-抵費地-2,R2,0.45,0.01,0.0,0.0,0.01,89.95,不臨路
0m,R4-抵費地,R4,1229.86,37.15,0.0,0.0,37.15,66.28,臨路
0m,R6-抵費地-1,R6,1548.29,34.17,0.0,0.0,34.08,90.91,臨路
0m,R6-抵費地-2,R6,85.71,0.0,0.0,0.0,51.3,47.68,不臨路
0m,R6-抵費地-3,R6,0.44,0.01,0.0,0.0,0.01,87.46,不臨路
0m,R5-抵費地,R5,1765.63,38.61,0.0,0.0,38.48,91.85,臨路
0m,R3-抵費地-1,R3,1713.77,38.71,0.0,0.0,38.67,88.93,臨路
0m,R3-抵費地-2,R3,78.24,0.0,0.0,41.42,3.87,41.84,臨路
3.5m,R1-抵費地-1,R1,1170.41,35.32,0.0,0.0,35.32,66.5,臨路
3.5m,R1-抵費地-2,R1,5.33,0.0,29.63,0.0,0.32,29.64,臨路
3.5m,R2-抵費地-1,R2,1540.74,34.64,0.0,0.0,34.66,89.19,臨路
3.5m,R2-抵費地-2,R2,233.79,3.5,41.41,0.0,8.65,45.03,臨路
3.5m,R2-抵費地-3,R2,0.45,0.01,0.0,0.0,0.01,89.84,不臨路
3.5m,R4-抵費地,R4,1229.86,37.15,0.0,0.0,37.15,66.28,臨路
3.5m,R6-抵費地-1,R6,1548.29,34.17,0.0,0.0,34.08,90.91,臨路
3.5m,R6-抵費地-2,R6,85.71,0.0,0.0,0.0,51.3,47.68,不臨路
3.5m,R6-抵費地-3,R6,0.44,0.01,0.0,0.0,0.01,87.46,不臨路
3.5m,R5-抵費地-1,R5,1529.57,33.36,0.0,0.0,33.25,92.1,臨路
3.5m,R5-抵費地-2,R5,212.84,3.21,39.98,0.0,8.37,43.87,臨路
3.5m,R3-抵費地-1,R3,1380.33,31.21,0.0,0.0,31.17,88.84,臨路
3.5m,R3-抵費地-2,R3,389.85,3.57,0.0,41.42,15.46,44.96,臨路
